# South American carbon-STOCK observation programs
# -------------------------------------------------
# Networks and programs that measure carbon STOCK (aboveground biomass, peat, and
# soil carbon) -- distinct from the eddy-covariance flux towers in
# south_america_flux_towers.csv. These are mostly spatially distributed
# plot/inventory networks rather than single points, so coordinates are omitted;
# they document the complementary half of the carbon-observation infrastructure
# and feed Phase-2 data-access outreach.
#
# Columns:
#   program            program / network name
#   stock_type         biomass | peat | soil | lidar-biomass | blue-carbon | mixed
#   countries          coverage
#   measures           what is quantified
#   institution        lead institution
#   availability_tier  1=open/archived  2=published/managed-access  3=national/restricted
#   data_access        how the data are obtained
#   confidence         high | medium | low
#   source_url         primary source
program,stock_type,countries,measures,institution,availability_tier,data_access,confidence,source_url
IFN Paraguay (INFONA),biomass,Paraguay,"National forest inventory (236 plots, 3rd cycle): biomass + DOM + soil",INFONA + UNDP,2,National portal (launching),high,https://www.undp.org/es/paraguay/publicaciones/inventario-forestal-nacional-ifn
PELD / PPBio (RAPELD),biomass,Brazil,LTER carbon-stock change in biomass/necromass/litter,CNPq/MCTI; INPA/CENBAM,1,PPBio repository (ppbio.inpa.gov.br),high,https://ppbio.inpa.gov.br/parceiros/peldamazonia
Pastaza-Maranon peat,peat,Peru,Peat carbon stock (~3.1-5.4 Pg C),U. Leeds / U. St Andrews / IIAP,2,Open maps (CEH/EIDC) + papers,high,https://www.nature.com/articles/s41561-022-00923-4
Andean & lowland peat (Colombia/Ecuador),peat,"Colombia,Ecuador",Peat carbon stocks (paramo + lowlands),Eawag / Michigan Tech / USFQ,2,Papers + theses (partly open),medium,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024JG008505
Patagonian/Tierra del Fuego peat,peat,"Chile,Argentina",Peat C stock (~119-141 kg C/m2),Academic project-based sampling,2,Papers (Frontiers OA),high,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2020.00273/full
SISLAC,soil,All Latin America,Soil organic carbon (~49000 profiles),FAO LAC Soil Partnership,1,Open portal + ESSD 2024,high,https://essd.copernicus.org/articles/16/1229/2024/
SISINTA (INTA),soil,Argentina,National soil database / SOC,INTA,1,sisinta.inta.gob.ar (open),high,https://sisinta.inta.gob.ar
Embrapa SOC map,soil,Brazil,Soil organic carbon stock 0-30 cm,Embrapa,1,Embrapa GeoInfo download,high,https://www.embrapa.br/en/busca-de-publicacoes/-/publicacao/1085127/
SoilGrids 2.0 / WoSIS,soil,Global incl. all SA,Gridded SOC stock 250 m,ISRIC,1,isric.org (open),high,https://isric.org/explore/soilgrids
Sustainable Landscapes Brazil,lidar-biomass,Brazil,Airborne LiDAR -> AGB/carbon (2008-2018),EMBRAPA + USDA Forest Service + NASA CMS,1,"ORNL DAAC (open, Earthdata)",high,https://daac.ornl.gov/CMS/guides/LiDAR_Forest_Inventory_Brazil.html
GEDI L4A,lidar-biomass,Continental (all SA),Spaceborne footprint AGB density,NASA / ORNL DAAC,1,Earthdata / ORNL DAAC (open),high,https://daac.ornl.gov/GEDI/guides/GEDI_L4A_AGB_Density_V2.html
Brazilian mangrove blue carbon,blue-carbon,Brazil,Mangrove soil + vegetation C stock,Various (Hatje et al.),2,Papers (partly open),medium,https://aslopubs.onlinelibrary.wiley.com/doi/10.1002/lno.11607
